instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Alabama A & M University,1,44321368,124593748,4928,1111,8812,6983,3948,769,5327
University of Alabama at Birmingham,1,139441181,2460168213,4793,1339,5357,5727,4224,3705,16874
University of Alabama in Huntsville,1,57539507,193994052,6505,1507,4847,5630,5580,1335,7681
Alabama State University,1,44733564,116489416,5414,3839,5688,6281,5616,828,5564
The University of Alabama,1,337623787,867997390,5273,732,7241,11650,7000,5951,28699
Central Alabama Community College,1,7087200,18626311,5385,754,2877,5683,2130,236,2441
Auburn University at Montgomery,1,31844543,76762411,4597,745,2492,8339,5640,853,5567
Auburn University Main Campus,1,322114609,767269691,6384,7157,7611,5976,6240,5434,24602
Birmingham Southern College,2,39640086,47708539,5030,494,16536,6814,25800,232,1549
Concordia College-Selma,2,4236609,9271289,4406,207,2710,3227,7200,48,568
South University-Montgomery,3,11473672,12099933,6147,4066,2965,9817,14685,100,661
Enterprise-Ozark Community College,1,8969611,24380602,5251,400,2362,3119,2130,315,2833
James H Faulkner State Community College,1,12584180,29653113,4602,1007,2945,3941,2130,367,4355
Faulkner University,2,40140695,41876982,3948,569,5426,6710,12720,817,3272
Gadsden State Community College,1,19061515,52321291,5141,1377,2196,3690,2130,544,6917
George C Wallace Community College-Dothan,1,13393577,35259367,5293,298,2265,5123,2130,507,4653
George C Wallace State Community College-Hanceville,1,17384488,47645567,4801,3037,1901,4101,2130,769,6311
Herzing University,3,7515107,7506557,6380,705,2143,14133,10220,117,425
Huntingdon College,2,16721235,18348684,4901,497,10035,6816,19990,202,1075
Jacksonville State University,1,53266020,105171840,4806,1532,5203,6456,5970,1491,9351
Jefferson Davis Community College,1,3652070,12235693,4802,518,2525,222,2130,144,1433
Jefferson State Community College,1,23177060,51108802,4810,1029,2309,2985,2130,654,8581
John C Calhoun State Community College,1,28695734,56303542,4566,989,1736,3345,2130,808,11212
Judson College,2,3339522,8280704,5245,427,8496,6674,12340,46,313
University of West Alabama,1,30918057,54040605,4022,1145,3861,6507,5060,1194,5157
Marion Military Institute,1,4893447,11464675,7364,2535,7001,4327,6000,102,511
