instname,state,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,tuition03_tf,totaldegrees,total_enrollment
Franklin W. Olin College of Engineering,Massachusetts,2,12123690,34416660,6071,1500,36925,4188,36400,36400,84,339
Amherst College,Massachusetts,2,65990848,304984044,5554,2183,35993,5459,38250,38250,428,1744
Washington and Lee University,Virginia,2,81658000,212169000,8743,2759,35895,4251,37990,37990,566,2153
Cooper Union for the Advancement of Science and Art,New York,2,36172236,59605363,2858,2074,35039,3294,35000,35000,220,995
Harvard University,Massachusetts,2,883013000,5348051000,5332,2738,34621,4448,33696,33696,7058,27651
Yale University,Connecticut,2,383916112,2912061896,4983,4560,34491,7998,36500,36500,3512,11593
Columbia University in the City of New York,New York,2,1043833831,4125163465,5380,3588,34109,7546,39296,39296,11376,29537
Vanderbilt University,Tennessee,2,415440486,3574127362,7696,5632,33832,6052,37632,37632,3496,12506
Williams College,Massachusetts,2,82680026,268052069,6540,1799,33287,4812,39250,39250,569,2141
Dartmouth College,New Hampshire,2,247818480,877863814,6746,541,33230,4461,38445,38445,1727,5987
Duke University,North Carolina,2,530020000,4511688000,10048,2152,33213,4755,37485,37485,4050,14350
Princeton University,New Jersey,2,258830000,2500873000,6437,2126,32503,4787,35340,35340,1992,7592
University of Richmond,Virginia,2,146123600,350692859,7643,2724,32269,5497,40010,40010,1039,4344
Vassar College,New York,2,106088932,201955494,6323,2614,32223,3823,41335,41335,602,2453
Massachusetts Institute of Technology,Massachusetts,2,468570000,3071182000,7474,2117,32094,5994,37510,37510,3296,10384
Colgate University,New York,2,113041466,199206574,5739,2845,32047,2416,40690,40690,695,2837
Bates College,Maine,2,87546566,108148425,4957,677,32022,6196,,,455,1738
Trinity College,Connecticut,2,93418623,156950717,6086,4593,32013,6199,38900,38900,597,2438
Wellesley College,Massachusetts,2,90400000,230713000,6326,2244,31871,3955,37826,37826,555,2324
Haverford College,Pennsylvania,2,48401889,90829250,5217,3007,31812,6666,38735,38735,291,1190
Stanford University,California,2,535245000,3450481000,6071,9567,31535,6242,37380,37380,4712,18498
Pomona College,California,2,57846000,244399000,7865,9708,31171,4925,36710,36710,375,1550
Swarthmore College,Pennsylvania,2,57498000,240306000,4758,1879,31107,5487,37510,37510,358,1525
Colby College,Maine,2,75463000,171219000,7797,973,30828,6953,,,481,1838
Bryn Mawr College,Pennsylvania,2,59677000,158142000,6074,1549,30805,5134,37120,37120,448,1771
Middlebury College,Vermont,2,175043000,281933462,6824,1246,30711,5304,,,1293,3292
University of Pennsylvania,Pennsylvania,2,931535000,6074477000,7833,2519,30568,5567,34868,34868,7157,24599
St John's College,New Mexico,2,19498954,25791945,5573,2900,30308,5453,39992,39992,149,500
Reed College,Oregon,2,53238793,113124513,5985,2302,30194,4255,39440,39440,344,1481
Hamilton College,New York,2,78241000,194181000,6503,2845,30172,4661,39370,39370,498,1882
Wesleyan University,Connecticut,2,122073000,231400000,7813,1126,30157,4510,39822,39822,824,3148
Cornell University,New York,2,715037682,2038599564,6332,2182,29758,5431,37750,37750,6428,20633
Claremont McKenna College,California,2,47731000,136941000,2741,9708,29296,5676,38275,38275,316,1238
California Institute of Technology,California,2,71503000,2365740000,4814,2294,29152,5026,33324,33324,490,2130
Smith College,Massachusetts,2,115800673,326887090,5709,2171,29135,4718,37510,37510,907,3121
Brown University,Rhode Island,2,320538000,805396000,6087,762,29119,6178,38048,38048,2212,8574
Lafayette College,Pennsylvania,2,91099094,175143332,6204,2633,28736,6073,37520,37520,640,2406
University of Chicago,Illinois,2,573723955,3131317077,6192,4458,28556,6440,38550,38550,4486,15094
Sarah Lawrence College,New York,2,61103683,76810203,5490,2369,28402,5411,41040,41040,476,1701
Vanguard University of Southern California,California,2,41943678,39759193,4650,5840,28341,10137,25452,25452,499,1923
Bowdoin College,Maine,2,69870000,178133000,7149,841,28292,5205,39605,39605,456,1777
Scripps College,California,2,35747747,78814176,6952,8892,28179,4904,38486,38486,231,921
Connecticut College,Connecticut,2,81475000,117631211,6421,3129,28035,6373,,,447,1911
Bard College,New York,2,84006033,136215583,4872,2882,27996,5104,39080,39080,781,2234
University of the Ozarks,Arkansas,2,13022571,23154103,2314,1641,27969,4395,18300,18300,109,625
Mount Holyoke College,Massachusetts,2,87963488,150390216,6109,2826,27466,4586,38940,38940,598,2304
Boston College,Massachusetts,2,474257371,821848442,6741,1302,27177,4070,38530,38530,4175,15036
Barnard College,New York,2,87863651,138476677,6214,3789,26994,4289,37051,37051,617,2357
College of the Atlantic,Maine,2,17751467,24997071,5764,1014,26813,5570,32580,32580,78,341
Pepperdine University,California,2,256638000,334498000,6768,9505,26701,6772,37730,37730,2509,7733
Skidmore College,New York,2,109380000,173009000,6597,3752,26603,5021,39600,39600,674,2727
University of Notre Dame,Indiana,2,419271000,1337332000,10144,2007,26534,5606,37970,37970,3368,11816
St John's College,Maryland,2,19930369,32169847,6662,2579,26531,5985,39992,39992,142,540
